哟	yo1
呦	you1
响	xiang3
摇	yao2
逛	guang4

吱	zhi1
肢	zhi1
听	ting1
湿	shi1
筵	yan2

柱	zhu4
炷	zhu4
枉	wang3
述	shu4
淹	yan1

文	wen2
汶	wen4
这	zhe4
烷	wan2
钙	gai4

喃	nan2
楠	nan2
哺	bu3
囡	nan1
浴	yu4

殃	yang1
秧	yang1
映	ying4
洋	yang2
济	ji4

骐	qi2
棋	qi2
验	yan4
脐	qi2
痒	yang3

秘	mi4
铋	bi4
秧	yang1
俪	li4
璜	huang2

榅	wen1
温	wen1
愠	yun4
闻	wen2
汰	tai4

冈	gang1
岗	gang3
区	qu1
港	gang3
意	yi4

呷	xia1
岬	jia3
听	yin3
匣	xia2
隠	yin3

梓	zi3
桎	zhi4
样	yang4
死	si3
沅	yuan2

苑	yuan4
宛	wan3
苛	ke1
愿	yuan4
羁	ji1

拮	jie2
诘	jie2
按	an4
邪	xie2
韵	yun4

铭	ming2
酩	ming3
铬	ge4
明	ming2
澳	ao4

壬	ren2
任	ren4
夭	yao1
涔	cen2
拽	ye4
